# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.00191697663075  	k                 	1.2701229034e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4992942323e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00191697663075  	epsilon           	3.6787334064e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.7876633249e-02	(2.3352396792e+00 3.0113028231e-01 1.1023740274e+00)	5
0.00216740904413  	k                 	1.2485755914e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4992020221e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00216740904413  	epsilon           	3.6783939897e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.7492936634e-02	(2.5430580890e+00 3.0110931505e-01 1.1024430430e+00)	5
0.00241784145751  	k                 	1.2266663992e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4991098100e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00241784145751  	epsilon           	3.6780545705e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.7152763857e-02	(1.9193513096e+00 3.0094580491e-01 1.3027016147e+00)	4
0.00266827387089  	k                 	1.2045407089e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4990175958e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00266827387089  	epsilon           	3.6777151490e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.6819980207e-02	(2.5424685427e+00 3.0120284286e-01 9.0185792767e-01)	5
0.00291870628428  	k                 	1.1829501414e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4989253798e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00291870628428  	epsilon           	3.6773757254e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.6498916007e-02	(2.7499623292e+00 3.0112357179e-01 9.0188539809e-01)	5
0.00316913869766  	k                 	1.1624288819e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4988331618e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00316913869766  	epsilon           	3.6770363027e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.6180409899e-02	(1.9238530082e+00 5.0073371307e-01 2.1058538604e+00)	4
0.00341957111104  	k                 	1.1428831176e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4987409420e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00341957111104  	epsilon           	3.6766968752e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.5888866743e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00367000352442  	k                 	1.1238702554e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4986487204e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00367000352442  	epsilon           	3.6763574459e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.5623148102e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.0039204359378   	k                 	1.1051343727e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4985564969e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.0039204359378   	epsilon           	3.6760180151e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.5347323294e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00417086835118  	k                 	1.0867698618e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4984642717e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00417086835118  	epsilon           	3.6756785829e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.5062817638e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00442130076456  	k                 	1.0690109667e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4983720448e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00442130076456  	epsilon           	3.6753391493e-03	(1.7237066517e+01 1.2937141941e+01 2.0000000000e-01)	12	9.4772923746e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00467173317795  	k                 	1.0519766027e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4982798161e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00467173317795  	epsilon           	3.6749997196e-03	(2.2224347218e+01 1.2937141941e+01 2.0000000000e-01)	12	9.4480226657e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00492216559133  	k                 	1.0356169500e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4981875858e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00492216559133  	epsilon           	3.6746602840e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.4187332972e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00517259800471  	k                 	1.0198314075e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4980953539e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00517259800471  	epsilon           	3.6743208474e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.3894764049e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00542303041809  	k                 	1.0045635464e-02	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4980031204e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00542303041809  	epsilon           	3.6739814102e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.3604596090e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00567346283147  	k                 	9.8978854691e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4979108853e-02	(5.4504441871e+01 2.7508644738e+01 2.0000000000e-01)	18
0.00567346283147  	epsilon           	3.6736419724e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.3317660469e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00592389524485  	k                 	9.7548354135e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4978186487e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00592389524485  	epsilon           	3.6733025342e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.3032547494e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00617432765824  	k                 	9.6162429123e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4977264106e-02	(6.1250000000e+00 2.8591615198e+01 2.0000000000e-01)	12
0.00617432765824  	epsilon           	3.6729630957e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.2746873943e-02	(2.5435545419e+00 1.0032272049e-01 1.3032284231e+00)	5
0.00642476007162  	k                 	9.4819370646e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4976341711e-02	(6.1250000000e+00 2.8591615198e+01 2.0000000000e-01)	12
0.00642476007162  	epsilon           	3.6726236570e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.2459588616e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.006675192485    	k                 	9.3518256958e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4975419301e-02	(6.1250000000e+00 2.8591615198e+01 2.0000000000e-01)	12
0.006675192485    	epsilon           	3.6722842183e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.2171399859e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00692562489838  	k                 	9.2258185811e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4974496877e-02	(6.1250000000e+00 2.8591615198e+01 2.0000000000e-01)	12
0.00692562489838  	epsilon           	3.6719447798e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.1882000523e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00717605731176  	k                 	9.1037767693e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4973574439e-02	(6.1250000000e+00 2.8591615198e+01 2.0000000000e-01)	12
0.00717605731176  	epsilon           	3.6716053415e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.1591434871e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00742648972514  	k                 	8.9854921602e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4972651988e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00742648972514  	epsilon           	3.6712659118e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.1299379893e-02	(2.5451684827e+00 1.0023436048e-01 1.7047195624e+00)	5
0.00767692213852  	k                 	8.8708146900e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4971729525e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00767692213852  	epsilon           	3.6709264745e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.1019205504e-02	(2.3378027679e+00 5.0129609419e-01 1.7043857365e+00)	5
0.00792735455191  	k                 	8.7596510621e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4970807048e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00792735455191  	epsilon           	3.6705870378e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.0748708661e-02	(2.3378027679e+00 5.0129609419e-01 1.7043857365e+00)	5
0.00817778696529  	k                 	8.6518821868e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4969884559e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00817778696529  	epsilon           	3.6702475822e-03	(1.9145207130e+01 1.2937141941e+01 2.0000000000e-01)	12	9.0478891541e-02	(2.3378027679e+00 5.0129609419e-01 1.7043857365e+00)	5
0.00842821937867  	k                 	8.5473410233e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4968962058e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00842821937867  	epsilon           	3.6699081670e-03	(2.2224347218e+01 1.2937141941e+01 2.0000000000e-01)	12	9.0209448806e-02	(2.3378027679e+00 5.0129609419e-01 1.7043857365e+00)	5
0.00867865179205  	k                 	8.4458629199e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4968039546e-02	(3.9238158557e+01 1.7463075574e+01 2.0000000000e-01)	18
0.00867865179205  	epsilon           	3.6695687331e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.9940446947e-02	(2.3362971146e+00 5.0176051836e-01 1.3028425313e+00)	5
0.00892908420543  	k                 	8.3473227385e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4967117022e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.00892908420543  	epsilon           	3.6692293005e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.9671799956e-02	(2.3362971146e+00 5.0176051836e-01 1.3028425313e+00)	5
0.00917951661881  	k                 	8.2516255146e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4966194486e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.00917951661881  	epsilon           	3.6688898692e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.9402719723e-02	(2.3362971146e+00 5.0176051836e-01 1.3028425313e+00)	5
0.0094299490322   	k                 	8.1586811693e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4965271940e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.0094299490322   	epsilon           	3.6685504393e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.9133251541e-02	(2.3362971146e+00 5.0176051836e-01 1.3028425313e+00)	5
0.00968038144558  	k                 	8.0683939171e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4964349384e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.00968038144558  	epsilon           	3.6682110111e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.8866034453e-02	(2.1278321284e+00 3.0099684309e-01 1.3029095534e+00)	5
0.00993081385896  	k                 	7.9806632006e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4963426817e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.00993081385896  	epsilon           	3.6678715845e-03	(2.2224347218e+01 1.2937141941e+01 2.0000000000e-01)	12	8.8599730902e-02	(2.1278321284e+00 3.0099684309e-01 1.3029095534e+00)	5
0.0101812462723   	k                 	7.8953911977e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4962504241e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.0101812462723   	epsilon           	3.6675321599e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.8334516622e-02	(2.1278321284e+00 3.0099684309e-01 1.3029095534e+00)	5
0.0104316786857   	k                 	7.8124819005e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4961581655e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.0104316786857   	epsilon           	3.6671927372e-03	(2.2224347218e+01 1.2937141941e+01 2.0000000000e-01)	12	8.8070919250e-02	(2.1278321284e+00 3.0099684309e-01 1.3029095534e+00)	5
0.0106821110991   	k                 	7.7318501283e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4960659059e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
0.0106821110991   	epsilon           	3.6668533167e-03	(2.1167905479e+01 1.2937141941e+01 2.0000000000e-01)	12	8.7809316085e-02	(2.1278321284e+00 3.0099684309e-01 1.3029095534e+00)	5
0.0109325435125   	k                 	7.6534210788e-03	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.4959736455e-02	(2.8982383953e+01 8.0000000000e+00 2.0000000000e-01)	18
