# Region type :   patch explosionChamber
# Faces           : 37875
# Area            : 9.6770513364e+01
# Scale factor    : 1.0000000000e+00
# Time            	min(epsilon)
0.214796008693    	4.1774539701e-03
0.214810472125    	4.1783648756e-03
0.214824917744    	4.1792909856e-03
0.214839339671    	4.1802321603e-03
0.214853749778    	4.1811883648e-03
0.214868148078    	4.1821600421e-03
0.214882534586    	4.1831471005e-03
0.214896909316    	4.1841494111e-03
0.214911278162    	4.1851669535e-03
0.214925641126    	4.1861998119e-03
0.214939998211    	4.1872477685e-03
0.214954343548    	4.1883104175e-03
0.214968677149    	4.1893871703e-03
0.214982999031    	4.1904776827e-03
0.214997303362    	4.1915814215e-03
0.215011590177    	4.1926976710e-03
0.215025859512    	4.1938259745e-03
0.215040111403    	4.1949658463e-03
0.215054345885    	4.1961167730e-03
0.21506856878     	4.1972783783e-03
0.215082774324    	4.1984502515e-03
0.21509696255     	4.1996314962e-03
0.215111139251    	4.2008216686e-03
0.21512530444     	4.2020204638e-03
0.215139458132    	4.2032272460e-03
0.215153600339    	4.2044413635e-03
0.215167731077    	4.2056621506e-03
0.215181850359    	4.2068889311e-03
0.215195963918    	4.2081211950e-03
0.21521006604     	4.2093584144e-03
0.215224162447    	4.2105997498e-03
0.215238247436    	4.2118446731e-03
0.215252326721    	4.2130923481e-03
0.215266394604    	4.2143422573e-03
0.215280456793    	4.2155935807e-03
0.215294507599    	4.2168458248e-03
0.21530855272     	4.2180982005e-03
0.215322586477    	4.2193502486e-03
0.215336608884    	4.2206010428e-03
0.215350625621    	4.2218501864e-03
0.215364631027    	4.2230972874e-03
0.215378625116    	4.2243414958e-03
0.215392607901    	4.2255823211e-03
0.215406585038    	4.2268194777e-03
0.21542055089     	4.2280526907e-03
0.21543450547     	4.2292812416e-03
0.215448454418    	4.2305049446e-03
0.215462397738    	4.2317237981e-03
0.21547633543     	4.2329375123e-03
0.215490267498    	4.2341458340e-03
0.215504193944    	4.2353485465e-03
0.21551811477     	4.2365454698e-03
0.215532035595    	4.2377366286e-03
0.215545950801    	4.2389220597e-03
0.215559860389    	4.2401013801e-03
0.215573764361    	4.2412745578e-03
0.215587657112    	4.2424414334e-03
0.215601544256    	4.2436019101e-03
0.215615425796    	4.2447563748e-03
0.215629296136    	4.2459047816e-03
0.215643160882    	4.2470471458e-03
0.215657014446    	4.2481837964e-03
0.215670862424    	4.2493148193e-03
0.215684704818    	4.2504407682e-03
0.215698536053    	4.2515617725e-03
0.215712361714    	4.2526780183e-03
0.215726181802    	4.2537901503e-03
0.21573999632     	4.2548985477e-03
0.215753799706    	4.2560034621e-03
0.21576759753     	4.2571051952e-03
0.215781389795    	4.2582044947e-03
0.215795176504    	4.2593018399e-03
0.215808957657    	4.2603977311e-03
0.215822733259    	4.2614926871e-03
0.21583650331     	4.2625872439e-03
0.215850267813    	4.2636819529e-03
0.215864032316    	4.2647775333e-03
0.215877791271    	4.2658746945e-03
0.215891550226    	4.2669738882e-03
0.215905309181    	4.2680759987e-03
0.215919068136    	4.2691816252e-03
0.215932827092    	4.2702913710e-03
0.215946586047    	4.2714058416e-03
0.215960350563    	4.2725257998e-03
0.21597411508     	4.2736519864e-03
0.215987890742    	4.2747850231e-03
0.216001683162    	4.2759262676e-03
0.216015492389    	4.2770766248e-03
0.21602932973     	4.2782370234e-03
0.216043195309    	4.2794086830e-03
0.21605705523     	4.2805911929e-03
0.216070858786    	4.2817816729e-03
0.21608467921     	4.2829799005e-03
0.216098573237    	4.2841921997e-03
0.216112433183    	4.2854190630e-03
0.216126236672    	4.2866539979e-03
0.216139967424    	4.2878954328e-03
0.216153615159    	4.2891422367e-03
0.21616717541     	4.2903937310e-03
0.216180654623    	4.2916498682e-03
0.216194064355    	4.2929113940e-03
0.216207426385    	4.2941796999e-03
0.216220756789    	4.2954566495e-03
0.216234087193    	4.2967443114e-03
0.216247438681    	4.2980454453e-03
0.216260827241    	4.2993620345e-03
0.216274269143    	4.3006957837e-03
0.216287775643    	4.3020482738e-03
0.216301352858    	4.3034205950e-03
0.216314996035    	4.3048131079e-03
0.216328689126    	4.3062250006e-03
0.216342365531    	4.3076496780e-03
0.216356030832    	4.3090806533e-03
0.21636968504     	4.3105171836e-03
0.216383322637    	4.3119584649e-03
0.216396949178    	4.3134038646e-03
0.216410559163    	4.3148531480e-03
0.216424152623    	4.3163055089e-03
0.216437729593    	4.3177605136e-03
0.216451290107    	4.3192177232e-03
0.216464834196    	4.3206766916e-03
0.216478361895    	4.3221369676e-03
0.216491873237    	4.3235980963e-03
0.216505368253    	4.3250596207e-03
0.216518846978    	4.3265210833e-03
0.216532309445    	4.3279820283e-03
0.216545755684    	4.3294420027e-03
0.216559191124    	4.3309007602e-03
0.216572610389    	4.3323580397e-03
0.216586018889    	4.3338132249e-03
0.216599411266    	4.3352660703e-03
0.216612792912    	4.3367159776e-03
0.216626158487    	4.3381627181e-03
0.216639513366    	4.3396057131e-03
0.216652852225    	4.3410447504e-03
0.216666180421    	4.3424792703e-03
0.21667949265     	4.3439118655e-03
0.216692788941    	4.3453441667e-03
0.216706074626    	4.3467767700e-03
0.216719344425    	4.3482097308e-03
0.21673259837     	4.3496423559e-03
0.216745836492    	4.3510742631e-03
0.216759064083    	4.3525052511e-03
0.216772275902    	4.3539350946e-03
0.21678547198     	4.3553630246e-03
0.216798652348    	4.3567886496e-03
0.216811817038    	4.3582115853e-03
0.21682496608     	4.3596314548e-03
0.216838094309    	4.3610476941e-03
0.216851206964    	4.3624597718e-03
0.216864304077    	4.3638677033e-03
0.216877385678    	4.3652711471e-03
0.216890446646    	4.3666695800e-03
0.216903492176    	4.3680625141e-03
0.216916522297    	4.3694500024e-03
0.21692953704     	4.3708317499e-03
0.216942541548    	4.3722076618e-03
0.216955535832    	4.3735778203e-03
0.216968514804    	4.3749417791e-03
0.216981483585    	4.3762991309e-03
0.216994442187    	4.3776499983e-03
0.217007390621    	4.3789941691e-03
0.217020328899    	4.3803314468e-03
0.217033257033    	4.3816616505e-03
0.217046169976    	4.3829844363e-03
0.217059072807    	4.3842994992e-03
0.217071965538    	4.3856070479e-03
0.217084843142    	4.3869067925e-03
0.217097710678    	4.3881984802e-03
0.217110563135    	4.3894821864e-03
0.217123400542    	4.3907575151e-03
0.217136227931    	4.3920245833e-03
0.217149040318    	4.3932834961e-03
0.217161837731    	4.3945338883e-03
0.2171746202      	4.3957757246e-03
0.217187387754    	4.3970089745e-03
0.217200135466    	4.3982334474e-03
0.217212868333    	4.3994489752e-03
0.217225586382    	4.4006558491e-03
0.217238289643    	4.3138725614e-03
0.217250978145    	4.2239442612e-03
0.217263651915    	4.1347506875e-03
0.217276315879    	4.0462996945e-03
0.217288965158    	3.9585990179e-03
0.217301604661    	3.8716783484e-03
0.217314234401    	3.7855332335e-03
0.217326854388    	3.7001809793e-03
0.217339464633    	3.6156381940e-03
0.217352070011    	3.5319099959e-03
0.217364665663    	3.4490012597e-03
0.217377246748    	3.3669585845e-03
0.217389818137    	3.2858058719e-03
0.21740237984     	3.2055350503e-03
0.217414927038    	3.1261686595e-03
0.21742746458     	3.0477282748e-03
0.217439987662    	2.9702147591e-03
0.217452496311    	2.8936581949e-03
0.217464995352    	2.8180584932e-03
0.217477480005    	2.7434156417e-03
0.217489950296    	2.6697579456e-03
0.217502411028    	2.5970848360e-03
0.217514857443    	2.5253959388e-03
0.217527294327    	2.4547091311e-03
0.217539716939    	2.3850240060e-03
0.217552130049    	2.3163578429e-03
0.217564528929    	2.2487101474e-03
0.217576918338    	2.1820975578e-03
0.21758929356     	2.1165194105e-03
0.217601659338    	2.0519915806e-03
0.217614010974    	1.9885138195e-03
0.217626353196    	1.9260998771e-03
0.217638681317    	1.8647488704e-03
0.217650995365    	1.8044824767e-03
0.217663295367    	1.7453059801e-03
0.217675576683    	1.6872314134e-03
0.217687839362    	1.6302769814e-03
0.217700078817    	1.5744521963e-03
0.217712295126    	1.5197723174e-03
0.217724488368    	1.4662374809e-03
0.217736654034    	1.4138536982e-03
0.217748796806    	1.3626259495e-03
0.217760916763    	1.3125392638e-03
0.21777301398     	1.2635913675e-03
0.217785088534    	1.2157794765e-03
0.217797140502    	1.1691002474e-03
0.217809174456    	1.1235441922e-03
0.217821190442    	1.0790962561e-03
0.217833188506    	1.0357526287e-03
0.21784517316     	9.9350372372e-04
0.217857148887    	9.5232957892e-04
0.217869120154    	9.1221099629e-04
0.217881086962    	8.7313431209e-04
0.217893049313    	7.2451438078e-04
0.217905007209    	5.2225039688e-04
0.217916965105    	3.4511828463e-04
0.217928918546    	1.9579387857e-04
0.217940871987    	7.8943899517e-05
0.217952820972    	5.9595610781e-06
0.217964765504    	6.2826703269e-04
0.217976710036    	5.9729968124e-04
0.217988650114    	5.6730894288e-04
0.218000590193    	5.3828978552e-04
0.218012530271    	5.1022617333e-04
0.218024474808    	4.8310767346e-04
0.218036423808    	4.5689117559e-04
0.218048372809    	4.3153824631e-04
0.218060326279    	4.0702311339e-04
0.218072284225    	3.8332207732e-04
0.218084242171    	3.6042764837e-04
0.218096200117    	3.3833822478e-04
0.218108153583    	3.1705000264e-04
0.218120098095    	2.9656406691e-04
0.218132033663    	2.7687765821e-04
0.218143960297    	2.5798201961e-04
0.21815587355     	2.3986995124e-04
0.218167773448    	2.2253552330e-04
0.218179660015    	2.0596742829e-04
0.218191533276    	1.9015384507e-04
0.21820339768     	1.7508072042e-04
0.218215253236    	1.6073209731e-04
0.218227104372    	1.4709407379e-04
0.218238946674    	1.3415258895e-04
0.218250788976    	1.2189528052e-04
0.218262626862    	1.1030497366e-04
0.218274464749    	9.9370624161e-05
0.218286298219    	8.9077931224e-05
0.21829813169     	7.9415110344e-05
0.218309965161    	7.0366325803e-05
0.218321794215    	6.1919082486e-05
0.218333618853    	5.4061473581e-05
0.218345434667    	4.6780008483e-05
0.218357246072    	4.0061084301e-05
0.218369048666    	3.3889385921e-05
0.218380842458    	2.8252333343e-05
0.218392627459    	2.3136173665e-05
0.218404403678    	1.8528038893e-05
0.218416171126    	1.4416414230e-05
0.218427929811    	1.0792300103e-05
0.218439684119    	7.6494245289e-06
0.218451429677    	4.9864416606e-06
0.218463170864    	2.8125603255e-06
0.218474907682    	1.1576913627e-06
0.218486640132    	1.2318694157e-07
0.218498368215    	4.4532668998e-03
0.218510096298    	4.4536546163e-03
0.218521820015    	4.4540587002e-03
0.218533539368    	4.4544790614e-03
0.218545254357    	4.4549157815e-03
0.218556964984    	4.4553689482e-03
0.218568671252    	4.4558386325e-03
0.218580373161    	4.4563248911e-03
0.218592070714    	4.4568277711e-03
0.218603763912    	4.4573473171e-03
0.218615448406    	4.4578835101e-03
0.218627128552    	4.4584363334e-03
0.218638804351    	4.4590059880e-03
0.218650471462    	4.4595926791e-03
0.218662134233    	4.4601963029e-03
0.218673792665    	4.4608174300e-03
0.21868544676     	4.4614581941e-03
0.21869709652     	4.4621194234e-03
0.218708741945    	4.4628014180e-03
0.218720383038    	4.4635027113e-03
0.218732019801    	4.4642253076e-03
0.218743656563    	4.4649685591e-03
0.218755288994    	4.4657335244e-03
0.218766921426    	4.4665206444e-03
0.218778549527    	4.4673304878e-03
0.218790177627    	4.4681634988e-03
0.218801805728    	4.4690204409e-03
0.218813429496    	4.4699017690e-03
0.218825053265    	4.4708079316e-03
0.218836677033    	4.4717397136e-03
0.218848296467    	4.4726975692e-03
0.218859915902    	4.4736819435e-03
0.218871531002    	4.4746935121e-03
0.218883146103    	4.4757327077e-03
0.218894756869    	4.4768002006e-03
0.218906367635    	4.4778964001e-03
0.218917974068    	4.4790219601e-03
0.2189295805      	4.4801772548e-03
0.218941182599    	4.4813629101e-03
0.218952780365    	4.4825790962e-03
0.218964378131    	4.4838263964e-03
0.218975971564    	4.4851053726e-03
0.218987564998    	4.4864162560e-03
0.218999154099    	4.4877595503e-03
0.2190107432      	4.4891354084e-03
0.219022332302    	4.4905444468e-03
0.219033917069    	4.4919867303e-03
0.219045501836    	4.4934622733e-03
0.219057082269    	4.4949713877e-03
0.21906865837     	4.4965137844e-03
0.219080234471    	4.4980896814e-03
0.21909180624     	4.4996992476e-03
0.219103373678    	4.5013420087e-03
0.219114936786    	4.5030178159e-03
0.219126499895    	4.5047266843e-03
0.219138058674    	4.5064685739e-03
0.219149613126    	4.5082427504e-03
0.219161167578    	4.5100490695e-03
0.219172717703    	4.5118861836e-03
0.219184267827    	4.5137510698e-03
0.219195817952    	4.5156432078e-03
0.219207368076    	4.5175618039e-03
0.219218918201    	4.5195061635e-03
0.219230468325    	4.5214755962e-03
0.21924201845     	4.5234693864e-03
0.219253568574    	4.5254867853e-03
0.219265118699    	4.5275270112e-03
0.219276668824    	4.5295892524e-03
0.219288218948    	4.5316726701e-03
0.219299769073    	4.5337764033e-03
0.219311323544    	4.5358998461e-03
0.219322878016    	4.5380423705e-03
0.219334432487    	4.5402017399e-03
0.219345986959    	4.5423784760e-03
0.21935754143     	4.5445711702e-03
0.219369091547    	4.5467785487e-03
0.219380637309    	4.5489991271e-03
0.219392174371    	4.5512317074e-03
0.219403707086    	4.5534751328e-03
0.219415231114    	4.5557288071e-03
0.219426746464    	4.5579913346e-03
0.219438253145    	4.5602619057e-03
0.219449751169    	4.5625397484e-03
0.219461240544    	4.5648241278e-03
0.219472721281    	4.5671143479e-03
0.219484197701    	4.5694100474e-03
0.219495669808    	4.5717111819e-03
0.219507141914    	4.5740174783e-03
0.219518609705    	4.5763286807e-03
0.219530077497    	4.5786440278e-03
0.219541540974    	1.0245870168e-03
0.219553000139    	4.5832856497e-03
0.219564454992    	4.5856105734e-03
0.219575909845    	4.5879380885e-03
0.219587360387    	4.5902681852e-03
0.219598810929    	4.5926003432e-03
0.21961025716     	4.5949346270e-03
0.219621694775    	4.5972699808e-03
0.219633123784    	4.5996056781e-03
0.219644539903    	4.6019412979e-03
0.219655938874    	4.6042758713e-03
0.219667316474    	4.6066084572e-03
0.219678672777    	4.6089384422e-03
0.219690007852    	4.6112658110e-03
0.219701325997    	4.6135908687e-03
0.219712627256    	4.6159142112e-03
0.219723920087    	4.6182364721e-03
0.2197352045      	4.6205587922e-03
0.219746493122    	4.6228821578e-03
0.219757785957    	4.6252083976e-03
0.219769095686    	4.6275385724e-03
0.219780422364    	4.6298745897e-03
0.219791770309    	4.6322169719e-03
0.21980314389     	4.6345668350e-03
0.219814543231    	4.6369250117e-03
0.219825964138    	4.6392914545e-03
0.219837411041    	4.6416661386e-03
0.219848879706    	4.6440495929e-03
0.219860365847    	4.6464411520e-03
0.219871869524    	4.6488404372e-03
0.219883381993    	4.6512470175e-03
0.21989490327     	4.6536598599e-03
0.219906433372    	4.6560791140e-03
0.219917963474    	4.6585042765e-03
0.219929493576    	4.6609342270e-03
0.219941023679    	4.6633690384e-03
0.21995254936     	4.6658084471e-03
0.219964075041    	4.6682521989e-03
0.219975596301    	4.6707006174e-03
0.219987117561    	4.6731534279e-03
0.219998643245    	4.6756115881e-03
0.220010173359    	4.6780757415e-03
0.220021707908    	4.6805459144e-03
0.22003325134     	4.6830224625e-03
0.220044808127    	4.6855063821e-03
0.220056378305    	4.6879983664e-03
0.220067961911    	4.6904984958e-03
0.220079558981    	4.6930068650e-03
0.220091169552    	4.6955235861e-03
0.220102789144    	4.6980484543e-03
0.2201144223      	4.7005813082e-03
0.22012606452     	4.7031226300e-03
0.220137720367    	4.7056723133e-03
0.22014938532     	4.7082309042e-03
0.220161054833    	4.7107976660e-03
0.220172733481    	4.7133725668e-03
0.220184421281    	4.7159565853e-03
0.220196113665    	4.7185497261e-03
0.22020781523     	4.7211520481e-03
0.220219521393    	4.7237642773e-03
0.220231232159    	4.7263861736e-03
0.220242947534    	4.7290181912e-03
0.220254667524    	4.7316608092e-03
0.220266392132    	4.7343145291e-03
0.220278121366    	4.7369798721e-03
0.2202898506      	4.7396570123e-03
0.220301584466    	4.7423461637e-03
0.220313322971    	4.7450485484e-03
0.220325066118    	4.7477645590e-03
0.220336813915    	4.6979534968e-03
0.220348566365    	4.4660040768e-03
0.220360323476    	4.2447316971e-03
0.220372089922    	4.0336878210e-03
0.220383861042    	3.8324433128e-03
0.220395641527    	3.6406355386e-03
0.220407426702    	3.4578632231e-03
0.220419221271    	3.2837863309e-03
0.220431020544    	3.1180303248e-03
0.220442829242    	2.9602771872e-03
0.22045464266     	2.8101782279e-03
0.220466465532    	2.6674368729e-03
0.220478297877    	2.5317113766e-03
0.220490139715    	2.4027118625e-03
0.220501991065    	2.2801591719e-03
0.220513851945    	2.1637844531e-03
0.220525722375    	2.0533288204e-03
0.220537602374    	1.9485430127e-03
0.220549491961    	1.8491870446e-03
0.220561391156    	1.7550298488e-03
0.220573299979    	1.6658489150e-03
0.220585218448    	1.5814299292e-03
0.220597146583    	1.5015664215e-03
0.220609084404    	1.4260594268e-03
0.220621027076    	1.3547266326e-03
0.220632974605    	1.2873995732e-03
0.220644931863    	1.2238872111e-03
0.220656893993    	1.1640069400e-03
0.220668861002    	1.1076070897e-03
0.220680832896    	1.0545245035e-03
0.22069280968     	1.0046021315e-03
0.22070479626     	9.5768273619e-04
0.220716787748    	9.1361623284e-04
0.220728784148    	8.7227650095e-04
0.220740790389    	8.3352470754e-04
0.220752801559    	7.9722857389e-04
0.220764817663    	7.6327644069e-04
0.220776843654    	7.3154687619e-04
0.22078887955     	7.0192066526e-04
0.220800920407    	6.7429704709e-04
0.220812971204    	6.4857964279e-04
0.220825026978    	6.2466920695e-04
0.220837092723    	6.0247873578e-04
0.220849163463    	5.8191915169e-04
0.220861239203    	5.6291493231e-04
0.220873324961    	5.4538645567e-04
0.220885415735    	5.2925889156e-04
0.220897511532    	5.1446881163e-04
0.220909612359    	5.0095180769e-04
0.220921718221    	4.8864746682e-04
0.220933829126    	4.7749925953e-04
0.220945950131    	4.6745316099e-04
0.220958076196    	4.5845885717e-04
0.220970212394    	4.5047271757e-04
0.220982353669    	4.4345140461e-04
0.220994505112    	4.3735741595e-04
0.221006661648    	4.3215380976e-04
0.221018828387    	4.2780874998e-04
0.221031000236    	4.2429122805e-04
0.221043177201    	4.2157489163e-04
0.221055359288    	4.1963455129e-04
0.221067546506    	4.1844753091e-04
0.221079738858    	4.1799362391e-04
0.221091936354    	4.1825501544e-04
0.221104138998    	4.1921620045e-04
0.221116346797    	4.2086379726e-04
0.221128554596    	4.2318585613e-04
0.22114076756     	4.2617253980e-04
0.221152985694    	4.2981654785e-04
0.221165209005    	4.3411191112e-04
0.221177442688    	4.3905519941e-04
0.221189681566    	4.4464415632e-04
0.221201925645    	4.5087604363e-04
0.221214180145    	4.5775173030e-04
0.221226439864    	4.6527294596e-04
0.221238710038    	4.7344117418e-04
0.22125098545     	4.8226009783e-04
0.221263271354    	4.9173179709e-04
0.221275562512    	5.0186223816e-04
0.221287864199    	5.1265428863e-04
0.221300171158    	5.2411338487e-04
0.221312488681    	5.3621184061e-04
0.221324811495    	5.4879881381e-04
0.221337139607    	5.6183686114e-04
0.221349478333    	5.7530645789e-04
0.221361822375    	5.8919766009e-04
0.22137417174     	6.0349836316e-04
0.221386526435    	6.1820094377e-04
0.221398886467    	6.3329757797e-04
0.221411251843    	6.4877947739e-04
0.221423622569    	6.6463703426e-04
0.221435993295    	6.8085743009e-04
0.221448369381    	6.9742790541e-04
0.221460745467    	7.1433925789e-04
0.221473126922    	7.3157815053e-04
0.221485513754    	7.4913790212e-04
0.221497900586    	7.6700419293e-04
0.221510298193    	7.8516604142e-04
0.221522701198    	8.0361896857e-04
0.221535115016    	8.2234911475e-04
0.221547539671    	8.4135004969e-04
0.221559975187    	8.6061015638e-04
0.221572421587    	8.8011782317e-04
0.221584878896    	8.9986142851e-04
0.221597347137    	9.1982940715e-04
0.221609826334    	9.4001034094e-04
0.221622311019    	9.6038982924e-04
0.221634801199    	9.8095129124e-04
0.221647291379    	1.0016836402e-03
0.221659781559    	1.0227898301e-03
0.221672271739    	1.0444003856e-03
0.221684761919    	1.0665619121e-03
0.221697252099    	1.0892813374e-03
0.221709742279    	1.1125523675e-03
0.221722232459    	1.1363644859e-03
0.221734717125    	1.1607021337e-03
0.22174720179     	1.1855502221e-03
0.221759686456    	1.2109037312e-03
0.221772165605    	1.2367468461e-03
0.221784644753    	1.2630645756e-03
0.221797123902    	1.2898525175e-03
0.221809597531    	1.3170945926e-03
0.221822071161    	1.3447753244e-03
0.22183454479     	1.3728901658e-03
0.221847012898    	1.4014220762e-03
0.221859481006    	1.4303545141e-03
0.221871949113    	1.4596823305e-03
0.221884411697    	1.4893873067e-03
0.22189687428     	1.5194518155e-03
0.221909336864    	1.5498702122e-03
0.22192179392     	1.5806234056e-03
0.221934250977    	1.6116930763e-03
0.221946702507    	1.6430685126e-03
0.221959154038    	1.6747310813e-03
0.221971605568    	1.7066750469e-03
0.221984051569    	1.7388806165e-03
0.22199649757     	1.7713289148e-03
0.222008943571    	1.8040141863e-03
0.222021384041    	1.8369161545e-03
0.22203382451     	1.8700153766e-03
0.22204626498     	1.9033002664e-03
0.222058699915    	1.9367372692e-03
0.222071134851    	1.9702929054e-03
0.222083569786    	2.0039468326e-03
0.222096004722    	2.0376690079e-03
0.222108434118    	2.0714245305e-03
0.222120863515    	2.1051860159e-03
0.222133287372    	2.1389347457e-03
0.22214571123     	2.1726442189e-03
0.222158129549    	2.2062965677e-03
0.222170542331    	2.2398599660e-03
0.222182955113    	2.2733172895e-03
0.222195362359    	2.3066498498e-03
0.22220776407     	2.3398251362e-03
0.222220160251    	2.3728201214e-03
0.222232550902    	2.4056116573e-03
0.222244936026    	2.4381766638e-03
0.222257315627    	2.4704922728e-03
0.222269689705    	2.5025359485e-03
0.222282058265    	2.5342856720e-03
0.222294421307    	2.5657201126e-03
0.222306778836    	2.5968188031e-03
0.222319136364    	2.6275671234e-03
0.222331488378    	2.6579501752e-03
0.222343834881    	2.6879420438e-03
0.222356175873    	2.7175270099e-03
0.222368516866    	2.7466952831e-03
0.22238085235     	2.7754370956e-03
0.222393182327    	2.8037327004e-03
0.222405512303    	2.8315766940e-03
0.222417836773    	2.8589636450e-03
0.222430155738    	2.8858787578e-03
0.222442474703    	2.9123209225e-03
0.222454788164    	2.9382887456e-03
0.222467096123    	2.9637718399e-03
0.222479404082    	2.9887727031e-03
0.222491706539    	3.0132934153e-03
0.222504003496    	3.0373276501e-03
0.222516300453    	3.0608811331e-03
0.222528591911    	3.0839589902e-03
0.222540877872    	3.1065584120e-03
0.222553158338    	3.1283440304e-03
0.222565438804    	3.1488485709e-03
0.222577713775    	3.1679827090e-03
0.222589983255    	3.1857226020e-03
0.222602252734    	3.2020903445e-03
0.222614516721    	3.2171190259e-03
0.222626780708    	3.2308431384e-03
0.222639039203    	3.2433019225e-03
