# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.0121847055794   	p                 	1.0121493978e+05	(4.6839303581e+00 2.2714168687e+00 2.9659556809e+00)	5	1.0151213065e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0124351379928   	p                 	1.0119099399e+05	(4.6839303581e+00 2.2714168687e+00 2.9659556809e+00)	5	1.0152454702e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0126855704062   	p                 	1.0119390503e+05	(4.6461916508e+00 2.2785192677e+00 2.9731741890e+00)	5	1.0153692571e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0129360028195   	p                 	1.0121806776e+05	(4.6846501735e+00 2.2701179424e+00 2.4851510134e-02)	5	1.0154853734e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0131864352329   	p                 	1.0125829703e+05	(4.6846501735e+00 2.2701179424e+00 2.4851510134e-02)	5	1.0155885374e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0134368676463   	p                 	1.0129438596e+05	(4.7742248283e+00 9.4486679128e-01 1.4500992496e+00)	5	1.0156765032e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0136873000597   	p                 	1.0128872780e+05	(4.7742248283e+00 9.4486679128e-01 1.4500992496e+00)	5	1.0157494208e+05	(2.1285064704e+00 1.0028393871e-01 1.5037445218e+00)	5
0.0139377324731   	p                 	1.0129821847e+05	(4.8812039570e+00 9.4109174366e-01 1.4492313363e+00)	5	1.0158083723e+05	(2.3357342396e+00 1.0032994145e-01 1.3031531904e+00)	5
0.0141881648864   	p                 	1.0130310057e+05	(4.8852644552e+00 1.0415719622e+00 1.4490608454e+00)	5	1.0158510782e+05	(2.5443418702e+00 1.0028039357e-01 1.5039550103e+00)	5
0.0144385972998   	p                 	1.0126395837e+05	(4.6833490524e+00 2.2704459257e+00 1.4749999787e+00)	5	1.0158435484e+05	(2.3374554212e+00 1.0024044928e-01 1.7046555155e+00)	5
0.0146890297132   	p                 	1.0120291174e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0154507854e+05	(2.3375846982e+00 3.0073967051e-01 1.7045613190e+00)	5
0.0149394621266   	p                 	1.0042058587e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0153811249e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
0.01518989454     	p                 	1.0032256633e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0152961250e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
0.0154403269534   	p                 	1.0070393620e+05	(2.3365670349e+00 1.0028723758e-01 1.5038837025e+00)	5	1.0151158813e+05	(1.3444255433e-01 2.4904293251e-02 2.9790791225e+00)	4
0.0156907593667   	p                 	1.0103297768e+05	(2.3367348258e+00 3.0088263819e-01 1.5037762127e+00)	5	1.0150142099e+05	(4.5658287662e-01 1.0005063929e-01 1.5002968922e+00)	4
0.0159411917801   	p                 	1.0113672069e+05	(2.3383643092e+00 1.0019078178e-01 1.9054381243e+00)	5	1.0150260398e+05	(6.6433165783e-01 1.0006727546e-01 1.5007308020e+00)	4
0.0161916241935   	p                 	1.0115168245e+05	(2.3370174083e+00 5.0153958717e-01 1.5035824432e+00)	5	1.0150508509e+05	(6.6433165783e-01 1.0006727546e-01 1.5007308020e+00)	4
0.0164420566069   	p                 	1.0122219421e+05	(2.3370174083e+00 5.0153958717e-01 1.5035824432e+00)	5	1.0150581634e+05	(8.7362421263e-01 1.0010103198e-01 1.5012318834e+00)	4
0.0166924890203   	p                 	1.0128136951e+05	(2.7534665944e+00 1.0017359257e-01 1.9054945752e+00)	5	1.0156142388e+05	(4.8262633491e+00 9.9581592078e-02 1.9030850740e+00)	5
0.0169429214336   	p                 	1.0129478781e+05	(2.7534665944e+00 1.0017359257e-01 1.9054945752e+00)	5	1.0161911557e+05	(4.8257122057e+00 9.9448517503e-02 1.5008781649e+00)	5
0.017193353847    	p                 	1.0130624492e+05	(4.6829517443e+00 2.4870276386e-02 2.9703593915e+00)	5	1.0158419238e+05	(4.8294590726e+00 6.9625013675e-01 1.7007391105e+00)	5
