# Field minima and maxima
# Time            	field             	min               	location(min)     	processor         	max               	location(max)     	processor         
0.209858281142    	T                 	2.8437142994e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5029579233e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209883182953    	T                 	2.8437064569e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5029751552e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209908053887    	T                 	2.8436890541e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5029926853e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209932894003    	T                 	2.8436633143e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5030103664e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209957718728    	T                 	2.8436308571e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5030280983e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.209982528072    	T                 	2.8435934304e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5030457938e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210007306692    	T                 	2.8435527576e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5030633749e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210032054646    	T                 	2.8435103400e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5030807951e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210056756713    	T                 	2.8434674118e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5030980181e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210082410691    	T                 	2.8434239935e+02	(7.1268210287e+00 1.1783405346e+00 2.8246989039e+00)	8	1.5031157081e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210108449562    	T                 	2.8432949032e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5031335018e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
0.210134336357    	T                 	2.8431568885e+02	(7.1261144207e+00 1.3739807388e+00 2.6270522178e+00)	7	1.5031510834e+03	(3.3741817501e+00 1.0009727938e-01 1.7043835725e+00)	5
