Simulation_Iteration,Time,deltaT,PIMPLE_Iterations
304,2305.92,0.00025,15
305,2312.05,0.00025,15
306,2318.18,0.00025,15
307,2324.29,0.00025,15
308,2330.39,0.0002478813559,15
309,2336.49,0.0002457806665,15
310,2342.66,0.0002436977795,15
311,2348.91,0.0002436977795,15
312,2355.18,0.0002416148925,15
313,2361.43,0.0002395498079,15
314,2367.59,0.0002395498079,15
315,2373.7,0.0002374847234,15
316,2379.89,0.0002354374413,15
317,2385.95,0.0002354374413,15
318,2392.01,0.0002333901592,15
319,2398.07,0.0002333901592,15
320,2404.16,0.0002333901592,15
321,2410.27,0.0002313247595,15
322,2416.39,0.0002292776378,15
323,2422.52,0.0002292776378,15
324,2428.73,0.000227230516,15
325,2434.95,0.0002252016721,15
326,2441.2,0.0002231909429,15
327,2447.37,0.0002231909429,15
328,2453.66,0.0002211802137,15
329,2459.81,0.0002211802137,15
330,2465.94,0.0002191694845,15
331,2472.03,0.0002191694845,15
332,2478.1,0.0002171587552,15
333,2484.14,0.0002151664731,15
334,2490.31,0.0002151664731,15
335,2496.4,0.0002131741909,15
336,2502.48,0.0002131741909,15
337,2508.63,0.0002111819088,15
338,2514.35,0.0002111819088,14
339,2520.07,0.0002091896266,14
340,2525.72,0.0002091896266,14
341,2531.38,0.0002091896266,14
342,2537.02,0.0002071781879,14
343,2542.66,0.0002071781879,14
344,2548.3,0.0002051667492,14
345,2553.97,0.0002051667492,14
346,2559.65,0.0002031553105,14
347,2565.41,0.0002031553105,14
348,2571.2,0.0002011438717,14
349,2576.91,0.0002011438717,14
350,2582.64,0.000199132433,14
351,2588.35,0.000199132433,14
352,2594.07,0.0001971209943,14
353,2599.79,0.0001951298732,14
354,2605.46,0.0001951298732,14
355,2611.21,0.000193138752,14
356,2616.86,0.000193138752,14
357,2622.59,0.0001911476308,14
358,2628.35,0.0001891770367,14
359,2634.03,0.0001891770367,14
360,2639.68,0.0001872064426,14
361,2645.4,0.0001872064426,14
362,2651.12,0.0001852358484,14
363,2656.8,0.0001852358484,14
364,2662.54,0.0001832652543,14
365,2668.33,0.0001832652543,14
366,2674.03,0.0001812946602,14
367,2679.71,0.0001812946602,14
368,2685.48,0.0001812946602,14
369,2691.24,0.0001793024112,14
370,2696.99,0.0001793024112,14
371,2702.76,0.0001773101622,14
372,2708.49,0.0001773101622,14
373,2714.28,0.0001773101622,14
374,2719.95,0.0001773101622,14
375,2725.63,0.0001752721143,14
376,2731.31,0.0001752721143,14
377,2737.01,0.0001752721143,14
378,2742.71,0.0001732100894,14
379,2748.49,0.0001732100894,14
380,2754.3,0.0001732100894,14
381,2760.01,0.0001732100894,14
382,2765.74,0.0001732100894,14
383,2771.55,0.0001710716933,14
384,2777.22,0.0001710716933,14
385,2782.46,0.0001710716933,13
386,2787.83,0.0001710716933,13
387,2793.15,0.0001688784664,13
